,algo,direction,seeds,groundTruthAvgDistance,sampleMeanAvgDistance,stdAvgDistance,residualAvgDistance,pValueAvgDistance,groundTruthEffectiveDiameter,sampleMeanEffectiveDiameter,stdEffectiveDiameter,residualEffectiveDiameter,pValueEffectiveDiameter,groundTruthLowerBoundDiameter,sampleMeanLowerBoundDiameter,stdLowerBoundDiameter,residualLowerBoundDiameter,pValueLowerBoundDiameter,groundTruthTotalCouples,sampleMeanTotalCouples,stdTotalCouples,residualTotalCouples,pValueTotalCouples
0,MHSE,out,32,8.463,8.531698891661978,0.14340561502527016,0.811755780006845,0.18451379862054526,11.205,11.228312866098817,0.23731873693073793,0.20805770726297582,0.7749052597071352,27,24.4,1.0198039027185568,-9.629629629629635,3.163508346837825e-05,2577389217,2519857246.725,231496702.1984894,-2.232180141653789,0.4749505305587737
1,MHSE,out,64,8.463,8.531698891661978,0.14340561502527016,0.811755780006845,0.18451379862054526,11.205,11.228312866098817,0.23731873693073793,0.20805770726297582,0.7749052597071352,27,24.4,1.0198039027185568,-9.629629629629635,3.163508346837825e-05,2577389217,2519857246.725,231496702.1984894,-2.232180141653789,0.4749505305587737
2,MHSE,out,128,8.463,8.531698891661978,0.14340561502527016,0.811755780006845,0.18451379862054526,11.205,11.228312866098817,0.23731873693073793,0.20805770726297582,0.7749052597071352,27,24.4,1.0198039027185568,-9.629629629629635,3.163508346837825e-05,2577389217,2519857246.725,231496702.1984894,-2.232180141653789,0.4749505305587737
3,SEMHSE,out,32,8.463,8.531698891661978,0.14340561502527016,0.811755780006845,0.18451379862054526,11.205,11.228312866098817,0.23731873693073793,0.20805770726297582,0.7749052597071352,27,24.4,1.0198039027185568,-9.629629629629635,3.163508346837825e-05,2577389217,2519857246.725,231496702.1984894,-2.232180141653789,0.4749505305587737
4,SEMHSE,out,64,8.463,8.531698891661978,0.14340561502527016,0.811755780006845,0.18451379862054526,11.205,11.228312866098817,0.23731873693073793,0.20805770726297582,0.7749052597071352,27,24.4,1.0198039027185568,-9.629629629629635,3.163508346837825e-05,2577389217,2519857246.725,231496702.1984894,-2.232180141653789,0.4749505305587737
5,SEMHSE,out,128,8.463,8.531698891661978,0.14340561502527016,0.811755780006845,0.18451379862054526,11.205,11.228312866098817,0.23731873693073793,0.20805770726297582,0.7749052597071352,27,24.4,1.0198039027185568,-9.629629629629635,3.163508346837825e-05,2577389217,2519857246.725,231496702.1984894,-2.232180141653789,0.4749505305587737
