,Message direction,Seeds number,Exact avg distance,Avg distance,Residual avg distance (p-val),Exact eff diameter,Eff diameter,Residual eff diameter (p-val),Exact diameter,Diameter,Residual diameter (p-val),Exact Nr. conn pairs,Nr. conn pairs,Residual Nr. conn pairs (p-val)
0,out,32,8.463,8.531698891661978,0.811755780006845% (0.18451379862054526),11.205,11.228312866098817,0.20805770726297582% (0.7749052597071352),27,24.4,-9.629629629629635% (3.163508346837825e-05),2577389217,2519857246.725,-2.232180141653789% (0.4749505305587737)
1,out,64,8.463,8.531698891661978,0.811755780006845% (0.18451379862054526),11.205,11.228312866098817,0.20805770726297582% (0.7749052597071352),27,24.4,-9.629629629629635% (3.163508346837825e-05),2577389217,2519857246.725,-2.232180141653789% (0.4749505305587737)
2,out,128,8.463,8.531698891661978,0.811755780006845% (0.18451379862054526),11.205,11.228312866098817,0.20805770726297582% (0.7749052597071352),27,24.4,-9.629629629629635% (3.163508346837825e-05),2577389217,2519857246.725,-2.232180141653789% (0.4749505305587737)
